Where,Flag,RLCColl
BRL Permanent,5,862
BRL Permanent,5,863
BRL Permanent,6,864
BRL Permanent,6,865
BRL Permanent,6,866
BRL Permanent,6,867
BRL Permanent,6,868
BRL Permanent,7,869
BRL Permanent,8,870
BRL Permanent,12,877
BRL Permanent,12,878
BRL Permanent,13,879
BRL Permanent,13,880
BRL Permanent,13,881
BRL Permanent,13,882
BRL Permanent,14,883
BRL Permanent,14,884
BRL Permanent,14,885
BRL Permanent,15,886
BRL Permanent,15,887
BRL Permanent,15,888
BRL Permanent,15,889
BRL Permanent,16,890
BRL Permanent,17,891
BRL Permanent,17,892
BRL Permanent,18,893
BRL Permanent,19,894
BRL Permanent,21,895
BRL Permanent,22,896
BRL Permanent,24,897
BRL Permanent,25,898
BRL Permanent,26,899
BRL Permanent,26,900
BRL Permanent,26,901
BRL Permanent,30,902
BRL Permanent,30,903
BRL Permanent,31,904
BRL Permanent,33,905
BRL Permanent,34,906
BRL Permanent,35,907
BRL Permanent,36,908
BRL Permanent,36,909
BRL Permanent,39,910
BRL Permanent,39,911
BRL Permanent,40,912
BRL Permanent,40,913
BRL Permanent,40,914
BRL Permanent,41,915
BRL Permanent,41,916
BRL Permanent,41,917
BRL Permanent,41,918
BRL Permanent,41,919
BRL Permanent,41,920
BRL Permanent,41,921
BRL Permanent,41,922
BRL Permanent,41,923
BRL Permanent,41,924
BRL Permanent,41,925
BRL Permanent,41,926
BRL Permanent,41,927
BRL Permanent,41,928
BRL Permanent,41,929
BRL Permanent,42,931
BRL Permanent,42,932
BRL Permanent,43,933
BRL Permanent,43,934
BRL Permanent,45,935
BRL Permanent,46,936
BRL Permanent,46,937
BRL Permanent,48,938
BRL Permanent,46,939
BRL Permanent,46,940
BRL Permanent,46,941
BRL Permanent,46,942
BRL Permanent,46,943
BRL Permanent,47,944
BRL Permanent,49,945
BRL Permanent,49,946
BRL Permanent,49,947
BRL Permanent,49,948
BRL Permanent,49,949
BRL Permanent,50,950
BRL Permanent,51,951
BRL Permanent,51,952
BRL Permanent,51,953
BRL Permanent,52,954
BRL Permanent,53,956
BRL Permanent,54,957
BRL Permanent,54,958
BRL Permanent,55,959
BRL Permanent,55,960
BRL Permanent,55,961
BRL Permanent,56,962
BRL Permanent,56,963
BRL Permanent,56,964
BRL Permanent,56,965
BRL Permanent,56,966
BRL Permanent,56,967
BRL Permanent,56,968
BRL Permanent,57,969
BRL Permanent,57,970
BRL Permanent,59,971
BRL Permanent,61,972
BRL Permanent,61,973
BRL Permanent,61,974
BRL Permanent,61,975
BRL Permanent,61,976
BRL Permanent,61,977
BRL Permanent,61,978
BRL Permanent,61,979
BRL Permanent,61,980
BRL Permanent,61,981
BRL Permanent,63,982
BRL Permanent,63,983
BRL Permanent,63,984
BRL Permanent,63,985
BRL Permanent,63,986
BRL Permanent,64,987
BRL Permanent,64,988
BRL Permanent,64,989
BRL Permanent,64,990
BRL Permanent,64,991
BRL Permanent,64,992
BRL Permanent,64,993
BRL Permanent,64,994
BRL Permanent,64,995
BRL Permanent,66,996
BRL Permanent,66,997
BRL Permanent,66,998
BRL Permanent,66,999
BRL Permanent,66,1000
BRL Permanent,66,1001
BRL Permanent,67,1002
BRL Permanent,67,1003
BRL Permanent,67,1004
BRL Permanent,72,1005
BRL Permanent,72,1006
BRL Permanent,73,1007
BRL Permanent,73,1008
BRL Permanent,73,1009
BRL Permanent,73,1010
BRL Permanent,75,1011
BRL Permanent,75,1012
BRL Permanent,75,1013
BRL Permanent,76,1014
BRL Permanent,76,1015
BRL Permanent,77,1016
BRL Permanent,77,1017
BRL Permanent,77,1018
BRL Permanent,77,1019
BRL Permanent,79,1020
BRL Permanent,79,1021
BRL Permanent,79,1022
BRL Permanent,79,1023
BRL Permanent,80,1024
BRL Permanent,81,1025
BRL Permanent,81,1026
BRL Permanent,82,1027
BRL Permanent,83,1028
BRL Permanent,83,1029
BRL Permanent,83,1030
BRL Permanent,83,1031
BRL Permanent,84,1032
BRL Permanent,84,1033
BRL Permanent,84,1034
BRL Permanent,84,1035
BRL Permanent,84,1036
BRL Permanent,84,1037
BRL Permanent,85,1038
